Issue key,previous_story_point,estimated_test_score,Number of developers,Number of comments
KEYCLOAK-12834,1.0,3.6234237046421,1,0
KEYCLOAK-12533,1.0,3.6234237046421,1,0
KEYCLOAK-12329,3.0,1.997467420780114,1,2
KEYCLOAK-12277,1.0,2.05,1,0
KEYCLOAK-11839,3.0,3.5308281864652,1,0
KEYCLOAK-11629,2.0,3.604607245943892,1,0
KEYCLOAK-11536,2.0,2.25,1,0
KEYCLOAK-11367,1.0,1.45,1,1
KEYCLOAK-11189,3.0,2.8916666666666666,1,0
KEYCLOAK-10355,2.0,2.55,1,0
KEYCLOAK-10286,1.0,1.775,1,1
KEYCLOAK-10262,3.0,2.65,1,1
KEYCLOAK-10246,2.0,6.25,1,0
KEYCLOAK-10072,1.0,3.5669047619047616,1,0
KEYCLOAK-10004,5.0,3.15,1,1
KEYCLOAK-9895,3.0,3.4,1,0
KEYCLOAK-9814,5.0,3.8,1,0
KEYCLOAK-9775,2.0,2.1875,1,0
KEYCLOAK-9774,3.0,3.913194444444444,1,0
KEYCLOAK-9586,3.0,2.709677419354839,1,0
KEYCLOAK-9348,3.0,2.25,1,0
KEYCLOAK-8932,5.0,3.65,0,6
KEYCLOAK-8641,3.0,2.95,1,0
KEYCLOAK-8518,3.0,4.9,1,1
KEYCLOAK-8483,2.0,3.0481995072226864,1,6
KEYCLOAK-8481,3.0,1.85,1,0
KEYCLOAK-8451,2.0,3.6234237046421,1,0
KEYCLOAK-8284,4.0,9.525,0,3
KEYCLOAK-8180,1.0,2.45,1,2
KEYCLOAK-8165,3.0,3.25,1,4
KEYCLOAK-8161,3.0,3.6234237046421,1,1
KEYCLOAK-8159,3.0,4.054892884892885,1,2
KEYCLOAK-8138,1.0,1.5,1,0
KEYCLOAK-8120,1.0,4.429015153005563,1,0
KEYCLOAK-8036,3.0,1.997467420780114,1,0
KEYCLOAK-8016,3.0,3.05,1,1
KEYCLOAK-8002,3.0,2.6,1,0
KEYCLOAK-7994,1.0,4.827770354439116,1,0
KEYCLOAK-7987,1.0,2.15,1,1
KEYCLOAK-7931,3.0,3.6234237046421,1,1
KEYCLOAK-7923,1.0,1.55,1,2
KEYCLOAK-7922,2.0,2.756,1,0
KEYCLOAK-7917,5.0,2.8916666666666666,1,1
KEYCLOAK-7864,1.0,1.4416666666666669,1,0
KEYCLOAK-7861,2.0,2.4,1,4
KEYCLOAK-7855,2.0,2.1416666666666666,1,0
KEYCLOAK-7848,1.0,2.598452380952381,1,0
KEYCLOAK-7847,1.0,3.6234237046421,1,0
KEYCLOAK-7827,1.0,1.3,1,0
KEYCLOAK-7822,2.0,2.05,1,0
KEYCLOAK-7810,1.0,3.05,1,0
KEYCLOAK-7764,1.0,3.5308281864652,1,0
KEYCLOAK-7763,1.0,2.1416666666666666,1,0
KEYCLOAK-7762,2.0,2.325,1,3
KEYCLOAK-7761,1.0,1.475,1,0
KEYCLOAK-7757,1.0,3.6234237046421,1,0
KEYCLOAK-7754,2.0,2.025,1,3
KEYCLOAK-7752,3.0,3.3,1,2
KEYCLOAK-7740,0.5,1.525,1,0
KEYCLOAK-7730,3.0,3.91,1,0
KEYCLOAK-7725,1.0,1.525,1,7
KEYCLOAK-7718,3.0,2.55,1,0
KEYCLOAK-7711,1.0,3.15,1,0
KEYCLOAK-7684,1.0,7.9,1,1
KEYCLOAK-7674,1.0,2.467669172932331,1,0
KEYCLOAK-7670,1.0,1.15,1,0
KEYCLOAK-7669,1.0,3.388468282727311,1,0
KEYCLOAK-7668,1.0,1.9,1,0
KEYCLOAK-7637,1.0,3.6234237046421,1,0
KEYCLOAK-7636,5.0,2.8916666666666666,1,2
KEYCLOAK-7621,13.0,4.429015153005563,0,2
KEYCLOAK-7598,1.0,3.6234237046421,1,0
KEYCLOAK-7587,3.0,3.6234237046421,1,0
KEYCLOAK-7579,1.0,1.75,1,0
KEYCLOAK-7577,3.0,3.6234237046421,1,1
KEYCLOAK-7552,5.0,3.6234237046421,1,2
KEYCLOAK-7518,3.0,3.0736919091417128,1,0
KEYCLOAK-7480,1.0,2.2666666666666666,1,1
KEYCLOAK-7449,1.0,3.6234237046421,1,0
KEYCLOAK-7448,2.0,1.9,0,1
KEYCLOAK-7446,1.0,1.5,1,0
KEYCLOAK-7441,3.0,2.6461291913214997,1,1
KEYCLOAK-7426,3.0,2.6461291913214997,1,1
KEYCLOAK-7396,3.0,2.9833333333333334,1,0
KEYCLOAK-7381,3.0,3.6234237046421,1,0
KEYCLOAK-7362,1.0,2.75,1,4
KEYCLOAK-7361,1.0,1.85,1,4
KEYCLOAK-7343,1.0,6.2,1,0
KEYCLOAK-7325,1.0,1.65,1,2
KEYCLOAK-7322,1.0,2.797201492537313,1,1
KEYCLOAK-7283,3.0,1.9708333333333337,1,0
KEYCLOAK-7282,2.0,3.6234237046421,1,0
KEYCLOAK-7281,1.0,3.6234237046421,1,1
KEYCLOAK-7280,3.0,3.6234237046421,1,0
KEYCLOAK-7279,3.0,3.6234237046421,1,1
KEYCLOAK-7278,2.0,3.6234237046421,1,0
KEYCLOAK-7277,4.0,4.794521058441077,1,0
KEYCLOAK-7255,1.0,1.9,1,0
KEYCLOAK-7252,3.0,1.997467420780114,1,2
KEYCLOAK-7251,3.0,3.6234237046421,1,1
KEYCLOAK-7249,3.0,1.997467420780114,1,2
KEYCLOAK-7193,1.0,2.8916666666666666,1,0
KEYCLOAK-7160,3.0,3.6234237046421,1,6
KEYCLOAK-7077,1.0,5.65,1,0
KEYCLOAK-7062,1.0,4.429015153005563,1,3
KEYCLOAK-7021,3.0,2.4,1,21
KEYCLOAK-6939,3.0,2.843035714285714,0,0
KEYCLOAK-6935,5.0,1.5,1,11
KEYCLOAK-6885,2.0,4.215070006312045,1,2
KEYCLOAK-6834,2.0,3.3166666666666678,1,0
KEYCLOAK-6811,5.0,3.366547619047619,1,1
KEYCLOAK-6806,3.0,4.827770354439116,1,0
KEYCLOAK-6647,2.0,1.5,1,0
KEYCLOAK-6646,5.0,4.827770354439116,1,1
KEYCLOAK-6644,13.0,1.6,1,1
KEYCLOAK-6643,3.0,1.75,1,0
KEYCLOAK-6642,3.0,3.9,1,0
KEYCLOAK-6641,3.0,2.55,1,3
KEYCLOAK-6621,1.0,2.9,1,10
KEYCLOAK-6582,1.0,2.3,1,0
KEYCLOAK-6463,3.0,4.827770354439116,1,1
KEYCLOAK-6152,5.0,3.1,1,1
KEYCLOAK-5852,1.0,4.429015153005563,1,1
KEYCLOAK-5434,3.0,2.332001459587666,1,21
KEYCLOAK-5052,4.0,4.016666666666667,1,2
KEYCLOAK-4037,2.0,2.05,1,9
KEYCLOAK-3058,4.0,3.375,1,11
JWS-1113,1.0,4.429015153005563,1,2
JWS-1056,1.0,3.6234237046421,1,1
JIRA-531,3.0,3.45,1,5
JIRA-530,2.0,3.6234237046421,1,0
JIRA-506,1.0,3.1517099567099565,1,2
JBPM-7695,8.0,4.353093167701863,1,4
JBPM-7645,3.0,3.6234237046421,1,1
JBPM-7532,5.0,3.5308281864652,1,1
JBPM-7529,1.0,3.5308281864652,1,1
JBPM-7528,5.0,3.6234237046421,1,7
JBPM-7526,5.0,3.45,1,2
JBPM-7525,2.0,4.429015153005563,1,0
JBPM-7524,2.0,2.6565217391304348,1,0
JBPM-7523,3.0,4.429015153005563,1,1
JBPM-7522,3.0,4.429015153005563,1,0
JBPM-7502,3.0,3.6234237046421,1,3
